nombre;url;nombre_conductor;origen;fecha_salida;destino;fecha_llegada;duracion;precio;distancia_origen;distancia_destino;auto_aceptacion;dos_asientos_detras;conductor_con_foto
/trip/carpooling/1495894765-madrid-monte-gordo;https://www.blablacar.es/trip/carpooling/1495894765-madrid-monte-gordo;Elena;Madrid;2019-04-17 05:25:00;Monte Gordo;2019-04-17 12:35:00;7,17;46,5;Un poco lejos;;False;True;True
/trip/carpooling/1430949017-alcorcon-fuengirola;https://www.blablacar.es/trip/carpooling/1430949017-alcorcon-fuengirola;Francisco;Alcorcón;2019-04-17 06:00:00;Fuengirola;2019-04-17 11:50:00;5,83;29,5;Un poco lejos;;False;True;True
/trip/carpooling/1488786951-estacion-de-aravaca-espana-islantilla;https://www.blablacar.es/trip/carpooling/1488786951-estacion-de-aravaca-espana-islantilla;Ignacio;Estacion de Aravaca, España;2019-04-17 06:00:00;Islantilla;2019-04-17 13:10:00;7,17;40,0;Un poco lejos;;False;True;True
/trip/carpooling/1491322204-madrid-marbella;https://www.blablacar.es/trip/carpooling/1491322204-madrid-marbella;Cristina;Madrid;2019-04-17 06:00:00;Marbella;2019-04-17 12:10:00;6,17;24,0;Muy cerca de ti;;False;True;True
/trip/carpooling/1494619141-madrid-sable-sur-sarthe;https://www.blablacar.es/trip/carpooling/1494619141-madrid-sable-sur-sarthe;Jesus- Manuel;Madrid;2019-04-17 06:00:00;Sablé-sur-Sarthe;2019-04-17 18:50:00;12,83;75,0;Un poco lejos;;False;False;True
/trip/carpooling/1494619169-madrid-sable-sur-sarthe;https://www.blablacar.es/trip/carpooling/1494619169-madrid-sable-sur-sarthe;Jesus- Manuel;Madrid;2019-04-17 06:00:00;Sablé-sur-Sarthe;2019-04-17 18:50:00;12,83;75,0;Un poco lejos;;False;False;True
/trip/carpooling/1495804696-madrid-granada;https://www.blablacar.es/trip/carpooling/1495804696-madrid-granada;Lorena;Madrid;2019-04-17 06:00:00;Granada;2019-04-17 10:40:00;4,67;21,5;Muy cerca de ti;;True;False;True
/trip/carpooling/1495877370-madrid-chiclana-de-la-frontera;https://www.blablacar.es/trip/carpooling/1495877370-madrid-chiclana-de-la-frontera;Laura;Madrid;2019-04-17 06:00:00;Chiclana de la Frontera;2019-04-17 13:00:00;7,0;33,0;Un poco lejos;;False;True;True
/trip/carpooling/1496539066-madrid-lisboa;https://www.blablacar.es/trip/carpooling/1496539066-madrid-lisboa;Jacosta;Madrid;2019-04-17 06:00:00;Lisboa;2019-04-17 12:40:00;6,67;52,5;Muy cerca de ti;;False;True;False
/trip/carpooling/1495457349-madrid-segovia;https://www.blablacar.es/trip/carpooling/1495457349-madrid-segovia;Edison Benito;Madrid;2019-04-17 06:00:42;Segovia;2019-04-17 07:10:42;1,17;6,0;Muy cerca de ti;;True;True;True
/trip/carpooling/1493631714-madrid-navia;https://www.blablacar.es/trip/carpooling/1493631714-madrid-navia;Lorena;Madrid;2019-04-17 06:15:00;Navia;2019-04-17 12:05:00;5,83;34,0;Un poco lejos;;False;True;True
/trip/carpooling/1481433696-madrid-villarrobledo;https://www.blablacar.es/trip/carpooling/1481433696-madrid-villarrobledo;Hatim;Madrid;2019-04-17 06:20:00;Villarrobledo;2019-04-17 08:40:00;2,33;21,5;Un poco lejos;;False;True;True
/trip/carpooling/1490423516-madrid-el-puerto-de-santa-maria;https://www.blablacar.es/trip/carpooling/1490423516-madrid-el-puerto-de-santa-maria;Julia;Madrid;2019-04-17 06:30:00;El Puerto de Santa María;2019-04-17 13:00:00;6,5;29,5;Un poco lejos;;False;True;True
/trip/carpooling/1492423129-madrid-malaga;https://www.blablacar.es/trip/carpooling/1492423129-madrid-malaga;Amine;Madrid;2019-04-17 06:30:00;Málaga;2019-04-17 12:20:00;5,83;27,5;Muy cerca de ti;;True;True;True
/trip/carpooling/1493419474-madrid-zaragoza;https://www.blablacar.es/trip/carpooling/1493419474-madrid-zaragoza;Jesus;Madrid;2019-04-17 06:30:00;Zaragoza;2019-04-17 09:50:00;3,33;22,5;Muy cerca de ti;;False;True;True
/trip/carpooling/1495967215-madrid-el-puerto-de-santa-maria;https://www.blablacar.es/trip/carpooling/1495967215-madrid-el-puerto-de-santa-maria;Javier;Madrid;2019-04-17 06:30:00;El Puerto de Santa María;2019-04-17 13:00:00;6,5;30,5;Un poco lejos;;True;True;True
/trip/carpooling/1496605209-madrid-monzon;https://www.blablacar.es/trip/carpooling/1496605209-madrid-monzon;Charo;Madrid;2019-04-17 06:30:00;Monzón;2019-04-17 11:50:00;5,33;30,5;Un poco lejos;;True;True;True
/trip/carpooling/1483161590-leganes-saron;https://www.blablacar.es/trip/carpooling/1483161590-leganes-saron;Elo;Estación - Parque Polvoranca;2019-04-17 06:50:00;Sarón;2019-04-17 12:00:00;5,17;30,5;Un poco lejos;;True;True;True
/trip/carpooling/1471551649-madrid-priego-de-cordoba;https://www.blablacar.es/trip/carpooling/1471551649-madrid-priego-de-cordoba;Ivan;Madrid;2019-04-17 07:00:00;Priego de Córdoba;2019-04-17 11:30:00;4,5;22,5;Un poco lejos;;False;True;True
/trip/carpooling/1477761496-madrid-bilbao;https://www.blablacar.es/trip/carpooling/1477761496-madrid-bilbao;David;Madrid;2019-04-17 07:00:00;Bilbao;2019-04-17 11:10:00;4,17;21,5;Muy cerca de ti;;False;True;True
/trip/carpooling/1478899276-madrid-lugo;https://www.blablacar.es/trip/carpooling/1478899276-madrid-lugo;Angel;Madrid;2019-04-17 07:00:00;Lugo;2019-04-17 12:00:00;5,0;29,5;Muy cerca de ti;;True;False;False
/trip/carpooling/1483707415-madrid-la-coruna;https://www.blablacar.es/trip/carpooling/1483707415-madrid-la-coruna;María;Madrid;2019-04-17 07:00:00;La Coruña;2019-04-17 13:10:00;6,17;35,5;Muy cerca de ti;;False;True;True
/trip/carpooling/1486440978-madrid-valencia;https://www.blablacar.es/trip/carpooling/1486440978-madrid-valencia;Darce;Madrid;2019-04-17 07:00:00;Valencia;2019-04-17 10:40:00;3,67;18,0;Un poco lejos;;True;False;True
/trip/carpooling/1489720086-madrid-navalvillar-de-pela;https://www.blablacar.es/trip/carpooling/1489720086-madrid-navalvillar-de-pela;Felix;Madrid;2019-04-17 07:00:00;Navalvillar de Pela;2019-04-17 10:50:00;3,83;18,0;Muy cerca de ti;;False;True;True
/trip/carpooling/1491469344-madrid-meliana;https://www.blablacar.es/trip/carpooling/1491469344-madrid-meliana;Keila Ainhoa;Madrid;2019-04-17 07:00:00;Meliana;2019-04-17 10:50:00;3,83;20,5;Un poco lejos;;False;True;True
